pickup_geohash,pickup_count
dr5rus,41168497
dr5rud,39511495
dr5ru7,38831744
dr5ru6,38717187
dr5rue,37161502
dr5ruk,32066871
dr5ru3,31673288
dr5ruu,31250943
dr5ru2,30432395
dr5rsr,25258386
dr5rsq,25031141
dr5ru0,24228682
dr5rvp,23939352
dr5ru9,23760836
dr5rug,23424389
dr5rsp,22859768
dr5rum,22654075
dr5rsj,22494749
dr5rvn,22154136
dr5ruv,21569075
dr5ru4,20182136
dr5rsm,20166851
dr5rsn,19432203
dr5ru1,18958390
dr5rgb,17456781
dr5rvj,16642667
dr72h8,16274966
dr72j0,15870169
dr5ruy,15128012
dr5ruq,14829894
dr5rut,14086305
dr5rux,13680258
dr5reu,13303580
dr5ru8,11912284
dr5ref,11654391
dr5ruh,11084604
dr72h9,10596325
dr5reg,10398768
dr5rsh,10092992
dr5rsk,9689540
dr5ru5,8974399
dr5rev,8955254
dr5rez,8778376
dr5rur,8059879
dr5ruz,7232027
dr5rgc,7139429
dr5ruw,7137895
dr5rsx,7089290
dr5rey,6508073
dr72hg,6337225
dr5rvh,6137899
dr72hu,5972467
dr5rvr,5967137
dr5ruf,5740327
dr72hf,5715666
dr72hd,5422646
dr72j1,5358367
dr5rsw,5132788
dr72hc,4523533
dr5rvq,4367614
dr5rec,4069622
dr5rgf,3886393
dr5ree,3564119
dr72j2,3260675
dr5red,3134369
dr5rst,2826471
dr72hb,2735098
dr72jk,2333588
dr72j3,2295082
dr72jj,2193428
dr5rs5,2121441
dr72j5,2104796
dr5ruj,1829121
dr72j6,1656149
dr72jh,1544622
dr72j7,1422618
dr5rs4,1342276
dr5rs7,1266848
dr72hv,1231943
dr72jn,1173331
dr72jp,1035741
dr5res,972773
dr72h2,950857
dr72j4,847026
dr72jm,839311
dr72m6,786110
dr72je,697762
dr72jd,642690
dr72jq,642255
dr5rss,629922
dr72jr,548074
dr72js,521237
dr72m3,497648
dr72m2,496461
dr72m0,430751
dr72m7,338318
dr72he,334065
dr72ms,324052
dr5rv5,212780
dr72mz,195011
dr72mk,189006
dr72mt,181474
dr72jt,167495
dr5ruc,155340
dr5rse,151422
dr72hy,144744
dr72jw,108788
dr72jx,103522
dr72mx,79339
dr72w0,62222
dr5rgg,60417
dr72mw,57571
dr72me,57030
dr72my,56750
dr5rvm,51247
dr72m8,45435
dr5rvk,43663
dr72jf,43477
dr5run,33079
dr72j9,26300
dr72jg,23612
dr72md,21198
dr72hz,18576
dr5re9,15632
dr72j8,14679
dr72jc,13799
dr72w1,13396
dr72tb,12213
dr72m9,8103
dr5rs6,7304
dr72m1,6814
dr72mm,5954
dr5rv4,5176
dr72h3,5141
dr72jb,3556
dr5r7x,1906
dr72mv,1708
dr72hs,1483
dr5rs1,1294
dr72qp,1114
dr5r7w,1027
dr5r7z,1009
dr72n4,994
dr72tc,745
dr5rs0,706
dr5rgu,667
dr72t8,655
dr72m4,476
dr5rkp,476
dr72mu,467
dr5rvx,408
dr5re0,235
dr5re1,208
dr5r7y,188
dr5r7p,145
dr5rsz,142
dr72qn,121
dr5r7q,68
dr5rsv,49
dr5rew,47
dr72n1,46
dr72t9,41
dr72mq,32
dr5rsu,30
dr5rsd,23
dr5rub,10
dr5ret,1
